33.4	x	4.55
33.4	x	6.35
48.3	x	5.08
48.3	x	7.14
48.3	x	10.16
60.3	x	3.91
60.3	x	5.54
60.3	x	8.74
60.3	x	11.07
60.3	x	12.70
60.3	x	14.20
73.0	x	5.16
73.0	x	7.01
88.9	x	5.49
88.9	x	7.62
88.9	x	11.13
88.9	x	15.24
114.3	x	6.02
114.3	x	8.56
114.3	x	11.13
114.3	x	13.49
114.3	x	17.12
114.3	x	20.00
114.3	x	25.40
141.3	x	6.55
141.3	x	9.53
141.3	x	12.70
141.3	x	15.88
141.3	x	19.05
168.3	x	7.11
168.3	x	9.53
168.3	x	10.97
168.3	x	12.70
168.3	x	14.27
168.3	x	18.26
168.3	x	21.95
168.3	x	25.40
168.3	x	28.00
168.3	x	31.75
219.1	x	6.35
219.1	x	8.18
219.1	x	10.31
219.1	x	12.70
219.1	x	15.88
219.1	x	19.05
219.1	x	23.01
219.1	x	25.40
219.1	x	28.00
219.1	x	31.75
219.1	x	38.10
273.0	x	6.35
273.0	x	9.27
273.0	x	12.70
273.0	x	15.09
273.0	x	15.88
273.0	x	19.05
273.0	x	21.44
273.0	x	25.40
273.0	x	28.58
273.0	x	31.75
273.0	x	38.10
273.0	x	50.8
323.8	x	9.53
323.8	x	10.31
323.8	x	12.70
323.8	x	14.27
323.8	x	15.88
323.8	x	17.48
323.8	x	19.05
323.8	x	21.44
323.8	x	25.40
323.8	x	31.75
323.8	x	33.32
323.8	x	38.10
323.9	x	50.80
355.6	x	9.53
355.6	x	10.31
355.6	x	12.70
355.6	x	14.20
355.6	x	15.88
355.6	x	19.05
355.6	x	23.83
355.6	x	25.40
355.6	x	31.75
355.6	x	38.10
355.6	x	50.80
406.4	x	9.53
406.4	x	12.70
406.4	x	14.27
406.4	x	15.88
406.4	x	16.66
406.4	x	17.48
406.4	x	19.05
406.4	x	21.44
406.4	x	25.40
406.4	x	30.96
406.4	x	31.75
406.4	x	38.10
406.4	x	50.80
457.2	x	9.53
457.2	x	10.00
457.2	x	15.88
457.2	x	19.05
457.2	x	25.40
457.2	x	31.75
457.2	x	38.10
457.2	x	45.24
457.2	x	50.80
508.0	x	9.53
508.0	x	12.70
508.0	x	15.09
508.0	x	15.88
508.0	x	17.48
508.0	x	25.40
508.0	x	26.19
508.0	x	31.75
508.0	x	38.10
508.0	x	50.80
559.0	x	12.70
559.0	x	15.88
559.0	x	19.05
559.0	x	25.40
559.0	x	31.75
559.0	x	38.10
609.6	x	9.53
609.6	x	12.70
609.6	x	14.27
609.6	x	17.48
609.6	x	19.05
609.6	x	25.40
609.6	x	31.75
609.6	x	38.10
609.6	x	50.80
609.6	x	59.54
